,Unnamed: 0,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,ict_index_per_90,ict_index_value,bps_per_90,value_bps,position,teamName,statusFull,description,zScore_form,p-form,form-cat,zScore_cost,p-cost,cost-cat,zScore_vsea,p-vsea,vsea-cat,zScore_vbps,p-vbps,vbps-cat,zScore_sbp,p-sbp,sbp-cat,zScore_ictval,p-ictval,ictval-cat,zScore_ict,p-ict,ict-cat,zScore_bps,p-bps,bps-cat,zScore_gpts,p-gpts,gpts-cat,strength,zScore_str,p-str,str-cat,class,kMeansClass,pcaKMeansClass,kMeans-cat,pcaKMeans-cat
287,459,,,60252,0,0,0,0,1,3,5.0,4.5,2,Andros,5.0,727,False,,,5.0,60252.jpg,3.5,Townsend,0.2,False,,a,Luton,102,39,37456,1213,14422,2669,1.0,7.8,Townsend,617,1,3,3,13,0,0,0,0,0,0,3,131,132.0,147.4,89.0,36.8,8,1.16,1.24,2.4,12.68,275,113,144,97,193,110,223,109,4.0,,,,,,0.17,0.0,0.18,0.35,1.85,1.9,169,105,22,13,92,47,304,98,1.17,0.44,3.35,0.74,12.18,2.68,Midfielder,Luton,avail,"[Townsend, Luton]",1.858591267725622,0.9684574521036408,gold,0.0,0.5,bronze,0.366754814650287,0.6430990424584913,silver,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.1411166822962458,0.5561111175176262,silver,0.2089868348629624,0.5827707420203544,silver,0.8510636612654656,0.802633004952904,gold,0.111,0.0,0.5,bronze,0,2,0,gold,gold
288,462,100.0,100.0,211975,0,0,-1,1,0,2,2.5,3.5,6,Manuel,2.0,341,False,,2023-11-08T09:00:09.507801Z,4.9,211975.jpg,3.3,Akanji,5.2,False,,a,Man City,43,49,1079144,8804,1114167,9968,0.4,10.0,Akanji,1261,2,0,4,16,0,0,0,2,1,0,1,259,295.4,125.7,73.0,49.5,14,0.62,0.77,1.39,13.44,111,42,170,39,219,54,168,43,,,,,,,0.04,0.0,0.05,0.09,0.96,1.14,239,29,187,59,113,29,78,27,1.0,0.29,3.3,1.01,17.33,5.31,Defender,Man City,avail,"[Akanji, Man City]",0.0,0.5,bronze,0.0,0.5,bronze,0.8796607581837413,0.8104784431220854,gold,1.1358113333811823,0.8719822335866161,gold,0.2019800185066526,0.5800338274172888,silver,0.3249099532577807,0.6273753881816557,silver,0.1155597823935148,0.5459992808526212,silver,1.1172105725740298,0.8680478494329119,gold,0.6904053538139685,0.7550303445709134,silver,0.14466,8.64283292299122e-05,0.5000344799147114,silver,1,3,2,silver,bronze
289,463,100.0,100.0,126184,0,0,0,0,0,2,3.3,4.3,6,Nathan,2.8,342,False,,2023-11-13T01:00:09.634159Z,5.0,126184.jpg,3.6,Aké,6.0,False,,a,Man City,43,54,825937,23359,777648,11119,0.6,10.8,Aké,1005,2,2,2,12,0,0,0,0,0,0,4,257,251.6,102.7,170.0,52.5,11,1.58,0.67,2.25,8.96,147,55,195,45,120,11,155,39,,,,,,,0.14,0.0,0.06,0.2,0.8,1.07,176,21,111,29,80,15,60,19,0.99,0.18,3.5,1.05,17.4,5.22,Defender,Man City,avail,"[Aké, Man City]",0.4699725137879176,0.6808126723829728,silver,0.0,0.5,bronze,1.0661720103777248,0.8568270538610404,gold,1.093495833974985,0.8629119214281118,gold,0.3045329495852218,0.6196390530546033,silver,0.3936339048319114,0.653074327190913,silver,0.2177873820044386,0.5862026118496139,silver,1.129555361241947,0.8706681852629515,gold,0.931392814991214,0.8241747969173454,gold,0.18162,0.232930595105557,0.5920923498337889,silver,1,3,2,silver,bronze
290,464,,,461358,1,-1,5,-5,2,4,5.3,6.3,7,Julián,4.8,343,False,,,7.0,461358.jpg,5.1,Álvarez,35.1,False,,a,Man City,43,97,5973696,130648,3107880,68404,0.7,13.9,J.Alvarez,1589,6,8,7,16,0,0,0,2,0,0,14,403,430.4,661.3,469.0,156.1,19,6.68,4.66,11.34,14.9,38,5,7,1,19,10,9,3,2.0,,2.0,,3.0,,0.38,0.0,0.26,0.64,0.84,0.91,33,13,27,4,17,4,8,3,1.08,0.4,8.22,2.23,21.95,5.96,Forward,Man City,avail,"[J.Alvarez, Man City]",1.7323531991858303,0.9583946523286482,gold,1.8135074470999488,0.965123204472923,gold,1.7889031126294104,0.963184789780128,gold,1.4414232735370542,0.9252674304430448,gold,4.034895817568179,0.9999726867348347,platin,2.420990476268764,0.9922608586051332,platin,2.630358732822238,0.9957352594728937,platin,1.93196662465658,0.9733181872810084,gold,2.136330120877441,0.9836737422926336,platin,0.64563,3.156145471346996,0.999200654472864,platin,3,1,1,platin,silver
291,465,100.0,100.0,165809,0,0,0,0,3,3,6.3,7.3,3,Bernardo,5.8,344,False,,2023-09-20T09:00:09.855543Z,6.5,165809.jpg,5.1,Veiga de Carvalho e Silva,5.2,False,,a,Man City,43,81,722901,39322,680864,28791,0.9,12.5,Bernardo,1358,5,4,3,18,0,0,0,3,0,0,13,353,456.2,499.0,296.0,125.2,15,1.68,4.38,6.06,14.55,29,10,17,12,60,37,18,11,3.0,,,,,,0.11,0.0,0.29,0.4,0.96,1.19,47,28,12,8,16,11,79,25,0.99,0.2,7.83,1.93,22.88,5.63,Midfielder,Man City,avail,"[Bernardo, Man City]",2.363543541884787,0.9909494502787164,platin,1.3537159793079034,0.9120864959273628,gold,1.4625084212899393,0.92819903082223,gold,1.2862664423809962,0.900824955112068,gold,0.2019800185066526,0.5800338274172888,silver,1.9055608394627848,0.9716463965193656,gold,2.431014913580937,0.9924717026015744,platin,2.095975959816054,0.9819578382162112,platin,2.136330120877441,0.9836737422926336,platin,0.49358,2.198246240872414,0.9860342184539824,platin,3,0,1,bronze,silver
292,466,,,477555,0,0,-1,1,0,3,0.9,1.9,1,Oscar,0.4,345,False,,,4.4,477555.jpg,2.0,Bobb,0.1,False,,a,Man City,43,12,9640,177,8929,316,0.1,2.7,Bobb,107,0,2,0,2,0,0,0,0,0,0,0,42,35.0,55.0,23.0,11.3,0,0.14,0.68,0.82,1.14,402,180,293,158,345,174,379,173,,,,,,,0.12,0.0,0.57,0.69,0.96,1.68,548,309,349,161,287,119,508,176,0.0,0.0,1.88,0.26,7.0,0.95,Midfielder,Man City,avail,"[Bobb, Man City]",0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.0,0.5,bronze,0,2,0,gold,gold
293,470,100.0,0.0,61366,0,0,-3,3,0,3,0.5,0.0,0,Kevin,0.0,349,False,,2023-08-12T08:00:06.610027Z,10.2,61366.jpg,1.0,De Bruyne,3.5,False,,a,Man City,43,1,235058,195195,1312728,12864,0.0,0.1,De Bruyne,22,0,0,0,0,0,0,0,0,0,0,0,4,2.4,18.8,1.0,2.2,1,0.02,0.16,0.18,0.1,474,216,375,191,437,219,454,209,1.0,,1.0,,4.0,,0.08,0.0,0.65,0.73,0.41,0.0,4,2,770,337,470,220,103,31,4.09,0.0,2.2,0.02,4.0,0.04,Midfielder,Man City,avail,"[De Bruyne, Man City]",0.0,0.5,bronze,4.756172840969037,0.9999990135121744,platin,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.0,0.5,bronze,0.15407,0.0593684523921422,0.5236706799668783,silver,1,2,0,gold,gold
294,471,100.0,75.0,171314,0,0,0,0,0,2,1.7,2.0,1,Rúben,1.2,350,False,,2023-12-28T09:30:09.403983Z,5.5,171314.jpg,2.2,Gato Alves Dias,6.5,False,,a,Man City,43,36,601715,6191,753875,13734,0.2,6.5,Rúben,1297,0,0,3,18,1,0,0,0,0,0,1,234,284.0,102.3,106.0,49.4,14,0.73,0.96,1.69,14.65,119,46,196,46,171,30,171,45,,,,,,,0.05,0.0,0.07,0.12,1.02,1.25,101,9,272,91,266,89,56,17,0.97,0.21,3.09,0.9,14.69,4.27,Defender,Man City,avail,"[Rúben, Man City]",0.0,0.5,bronze,0.4341330437238133,0.6679040843453459,silver,0.063674029835064,0.5253851080190441,silver,0.646832229131788,0.7411297344422956,silver,0.3686285315093277,0.6437976870214971,silver,0.1359190864289215,0.5540573766450329,silver,0.0082208028020449,0.5032795888765601,silver,0.6516356856697156,0.7426818894855017,silver,0.0,0.5,bronze,0.0748,0.0,0.5,bronze,0,2,0,gold,gold
295,472,100.0,100.0,121160,0,0,0,0,0,1,3.3,4.3,6,Ederson,2.8,352,False,,2023-12-15T18:00:10.673601Z,5.5,121160.jpg,3.0,Santana de Moraes,16.3,False,,a,Man City,43,54,1218162,26834,1317855,26962,0.5,9.8,Ederson M.,1620,0,0,5,20,0,0,0,3,0,32,0,304,320.2,10.0,0.0,32.9,18,0.0,0.02,0.02,16.93,91,16,408,7,759,87,248,16,,,,,,,0.0,1.78,0.0,0.0,0.94,1.11,99,2,114,13,148,18,23,3,1.0,0.28,1.83,0.6,16.89,5.53,Goalkeeper,Man City,avail,"[Ederson M., Man City]",0.4699725137879176,0.6808126723829728,silver,0.4341330437238133,0.6679040843453459,silver,0.8330329451352456,0.7975869254373998,silver,1.2392492208185546,0.8923733912270255,gold,1.6249019372218012,0.9479082723137856,gold,0.0,0.5,bronze,0.0,0.5,bronze,1.0396147580899775,0.8507405411997748,gold,0.4494178926367232,0.6734348868350817,silver,0.19729,0.331649969926581,0.6299232087366449,silver,1,3,2,silver,bronze
296,473,,,209244,1,-1,3,-3,1,3,6.5,7.5,12,Phil,6.0,353,False,,,7.8,209244.jpg,5.1,Foden,19.4,False,,a,Man City,43,96,2821252,450749,1799989,24364,0.8,12.3,Foden,1514,5,6,6,18,0,0,0,1,0,0,12,379,451.0,584.9,487.0,152.5,17,4.24,3.47,7.71,16.4,32,12,10,7,16,8,10,7,3.0,,,,,,0.25,0.0,0.21,0.46,0.97,1.07,17,10,11,7,18,12,16,7,1.01,0.36,8.03,1.96,20.58,5.01,Midfielder,Man City,avail,"[Foden, Man City]",2.4897816104245787,0.9936089194596904,platin,2.5491737955672207,0.9946010762727844,platin,1.4158806082414437,0.921594768279231,gold,0.9947596686938572,0.8400734169331292,gold,2.0222945451512566,0.9784270340832228,platin,1.9571038031433825,0.974832367303762,gold,2.53324251319186,0.9943493632498774,platin,1.690361475013053,0.9545205896599046,gold,2.136330120877441,0.9836737422926336,platin,0.57625,2.719058666938404,0.9967266002361068,platin,3,1,1,platin,silver
