,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,name,team,element_type,position,teamName,opponent,Date
3,4,31,14,4,True,2023-09-03T15:30:00Z,3,1,4,13,0,1,0,0,0,0,0,0,0,0,0,15,18.0,12.2,4.0,3.4,0,0.00,0.01,0.01,0.06,54,1049,11354,1919,870,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Man Utd,2023-09-03
4,4,43,9,3,False,2023-09-17T15:30:00Z,0,1,5,79,0,0,1,0,0,0,0,0,0,0,0,6,0.2,11.7,25.0,3.7,1,0.37,0.06,0.43,0.20,54,683,12876,1862,1179,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Everton,2023-09-17
5,4,51,18,1,True,2023-09-24T13:00:00Z,2,2,6,45,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.3,4.0,0.5,1,0.00,0.00,0.00,0.90,54,818,14006,1881,1063,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Spurs,2023-09-24
6,4,62,3,1,False,2023-09-30T14:00:00Z,0,4,7,14,0,0,0,0,0,0,0,0,0,0,0,2,4.4,16.0,0.0,2.0,0,0.00,0.03,0.03,0.00,54,130,14358,2573,2443,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Bournemouth,2023-09-30
7,4,71,13,0,True,2023-10-08T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-1041,13426,675,1716,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Man City,2023-10-08
8,4,84,7,0,False,2023-10-21T16:30:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-862,12793,313,1175,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Chelsea,2023-10-21
9,4,91,17,6,True,2023-10-28T14:00:00Z,5,0,10,17,1,0,0,0,0,0,0,0,0,0,0,22,33.4,5.6,19.0,5.8,0,0.79,0.02,0.81,0.00,54,-882,12005,209,1091,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Sheffield Utd,2023-10-28
10,4,107,15,1,False,2023-11-04T17:30:00Z,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1.2,0.0,0.2,0,0.00,0.01,0.01,0.00,54,76,12276,604,528,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Newcastle,2023-11-04
11,4,111,6,-2,True,2023-11-11T15:00:00Z,3,1,12,23,0,0,0,0,0,0,0,0,1,0,0,-7,0.0,0.3,0.0,0.0,0,0.00,0.00,0.00,0.07,54,16,12399,621,605,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Burnley,2023-11-11
12,4,121,4,0,False,2023-11-25T17:30:00Z,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-1817,10519,52,1869,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Brentford,2023-11-25
13,4,131,20,0,True,2023-12-02T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-597,9996,19,616,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Wolves,2023-12-02
14,4,146,12,0,False,2023-12-05T20:15:00Z,3,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,54,-268,9739,18,286,Fábio Vieira,Arsenal,3,Midfielder,Arsenal,Luton,2023-12-05
